timestamp,close,high,low,trade_count,open,volume,vwap
2024-12-27 05:00:00+00:00,137.01,139.02,134.71,1342999,138.55,170582603,136.404689
2024-12-30 05:00:00+00:00,137.49,140.27,134.02,1347922,134.83,167734700,138.052226
2024-12-31 05:00:00+00:00,134.29,138.07,133.83,1200146,138.03,155659211,135.449823
2025-01-02 05:00:00+00:00,138.31,138.88,134.63,1567000,136.0,198247166,137.181563
2025-01-03 05:00:00+00:00,144.47,144.9,139.73,1745662,140.01,229322478,143.567988
2025-01-06 05:00:00+00:00,149.43,152.156,147.8201,2139591,148.59,265377359,150.355811
2025-01-07 05:00:00+00:00,140.14,153.13,140.01,3297980,153.03,351782174,143.543604
2025-01-08 05:00:00+00:00,140.11,143.95,137.56,1983811,142.58,227349948,140.669549
2025-01-10 05:00:00+00:00,135.91,139.92,134.22,1832777,137.45,207602514,135.827555
2025-01-13 05:00:00+00:00,133.23,133.49,129.51,1886121,129.99,204808914,131.970517
2025-01-14 05:00:00+00:00,131.76,136.38,130.05,1712995,136.05,195590485,132.178327
2025-01-15 05:00:00+00:00,136.24,136.45,131.29,1417208,133.65,185217338,134.839393
2025-01-16 05:00:00+00:00,133.57,138.75,133.49,1535426,138.64,209235583,135.636739
2025-01-17 05:00:00+00:00,137.71,138.5,135.4649,1181517,136.69,201188760,137.429718
2025-01-21 05:00:00+00:00,140.83,141.83,137.09,1541532,139.16,197748985,140.046734
2025-01-22 05:00:00+00:00,147.07,147.79,143.67,1837719,144.66,237651395,146.610574
2025-01-23 05:00:00+00:00,147.22,147.23,143.72,1198401,145.05,155915549,145.862847
2025-01-24 05:00:00+00:00,142.62,148.97,141.88,1737315,148.37,234657635,144.39028
2025-01-27 05:00:00+00:00,118.42,128.4,116.7,7844400,124.8,818830895,120.801569
